Date,Close/Last,Volume,Open,High,Low
03/13/2025,$111.67,502316,$112.29,$113.59,$111.005
03/12/2025,$111.98,911493,$113.56,$114.34,$111.35
03/11/2025,$114.65,1039939,$114.16,$116.04,$113.26
03/10/2025,$114.85,704316,$117.00,$119.17,$114.54
03/07/2025,$116.92,779272,$114.28,$117.7471,$114.28
03/06/2025,$114.37,562868,$113.44,$114.80,$113.00
03/05/2025,$113.73,558850,$111.92,$114.52,$111.85
03/04/2025,$112.67,563899,$114.74,$115.59,$112.64
03/03/2025,$114.40,558337,$113.78,$114.96,$113.09
02/28/2025,$113.51,808567,$113.29,$113.84,$111.98
02/27/2025,$112.37,555014,$112.45,$113.07,$111.835
02/26/2025,$113.19,868683,$115.50,$115.535,$112.86
02/25/2025,$115.39,646629,$115.33,$116.75,$114.59
02/24/2025,$114.97,794314,$115.28,$117.42,$114.79
02/21/2025,$115.66,550397,$114.98,$116.44,$114.21
02/20/2025,$114.77,490687,$112.97,$114.87,$112.665
02/19/2025,$113.41,807992,$111.61,$113.90,$110.4801
02/18/2025,$111.48,515066,$110.57,$112.31,$110.22
02/14/2025,$111.47,462122,$113.06,$113.6399,$111.39
02/13/2025,$112.99,531173,$112.01,$113.29,$111.11
02/12/2025,$111.70,630220,$109.51,$112.20,$109.465
02/11/2025,$111.09,568607,$109.68,$111.54,$109.50
02/10/2025,$109.81,851462,$111.39,$111.84,$108.65
02/07/2025,$112.55,1260579,$110.20,$114.17,$108.49
02/06/2025,$105.86,839799,$106.16,$106.95,$104.87
02/05/2025,$104.81,536683,$104.92,$105.69,$104.43
02/04/2025,$104.57,480947,$105.46,$105.68,$103.975
02/03/2025,$105.85,627285,$105.80,$106.36,$104.12
01/31/2025,$106.16,321061,$107.28,$107.28,$105.78
01/30/2025,$107.75,281674,$107.19,$108.175,$106.955
01/29/2025,$106.55,288920,$106.94,$107.85,$106.35
01/28/2025,$106.99,360552,$109.27,$109.93,$106.90
01/27/2025,$108.93,464068,$108.12,$110.50,$107.04
01/24/2025,$106.72,460343,$106.74,$107.55,$106.44
01/23/2025,$107.09,431786,$106.00,$107.33,$105.47
01/22/2025,$106.20,834697,$107.47,$107.535,$106.05
01/21/2025,$107.91,568441,$108.27,$109.36,$107.79
01/17/2025,$107.88,530851,$107.59,$108.38,$107.24
01/16/2025,$107.59,787000,$106.02,$108.205,$104.89
01/15/2025,$106.90,471478,$108.20,$108.86,$106.885
01/14/2025,$107.50,355299,$107.06,$107.98,$106.97
01/13/2025,$106.92,550020,$105.67,$107.77,$105.16
