,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
0,Ottawa,Michigan,2024-12-31,Commercial Turkey Meat Bird,29400,MI,26139,-85.9964531,42.95990607
1,Miner,South Dakota,2024-12-31,WOAH Poultry,1500,SD,46097,-97.60992207,44.02197882
2,Ottawa,Michigan,2024-12-31,Commercial Turkey Meat Bird,23400,MI,26139,-85.9964531,42.95990607
3,Jackson,Michigan,2024-12-31,WOAH Non-Poultry,9,MI,26075,-84.42251355,42.24852059
4,Riverside,California,2024-12-31,Commercial Table Egg Layer,181300,CA,6065,-115.9939021,33.74329781
5,Spartanburg,South Carolina,2024-12-31,Commercial Upland Gamebird Producer,920,SC,45083,-81.99110742,34.93148726
6,Butte,California,2024-12-31,WOAH Non-Poultry,70,CA,6007,-121.6008508,39.66681952
7,Tipton,Tennessee,2024-12-30,WOAH Non-Poultry,10,TN,47167,-89.75925274,35.49692909
8,Clay,Arkansas,2024-12-30,Commercial Broiler Production,227500,AR,5021,-90.41718919,36.36822542
9,Johnson,Nebraska,2024-12-30,Commercial Broiler Production,209100,NE,31097,-96.26520163,40.39252282
10,Copiah,Mississippi,2024-12-30,Commercial Broiler Production,210000,MS,28029,-90.44883293,31.86883689
11,Twin Falls,Idaho,2024-12-30,WOAH Non-Poultry,30,ID,16083,-114.6681729,42.35608428
12,Edmunds,South Dakota,2023-12-30,Commercial Upland Gamebird Producer,1400,SD,46045,-99.21540939,45.41847898
13,Snohomish,Washington,2022-12-30,WOAH Poultry,180,WA,53061,-121.6977603,48.04772437
14,Sanilac,Michigan,2022-12-30,WOAH Non-Poultry,30,MI,26151,-82.82063341,43.4237632
15,Mcintosh,North Dakota,2023-12-29,WOAH Non-Poultry,110,ND,,,
16,Carson,Texas,2023-12-29,WOAH Non-Poultry,30,TX,48065,-101.3542669,35.40365929
17,Pierce,Washington,2022-12-29,WOAH Non-Poultry,40,WA,53053,-122.1122121,47.02680625
18,Sonoma,California,2023-12-28,Commercial Table Egg Layer,52400,CA,6097,-122.8872965,38.52842052
19,Sonoma,California,2023-12-28,Commercial Table Egg Layer,37300,CA,6097,-122.8872965,38.52842052
20,Missoula,Montana,2023-12-28,WOAH Non-Poultry,6,MT,30063,-113.9237814,47.03651185
21,Audrain,Missouri,2023-12-28,WOAH Poultry,330,MO,29007,-91.84163742,39.21595536
22,Marin,California,2023-12-28,Commercial Table Egg Pullets,151000,CA,6041,-122.7234103,38.07351203
23,Weakley,Tennessee,2022-12-28,Commercial Broiler Breeder,43600,TN,47183,-88.71817942,36.29822836
24,Elk,Kansas,2022-12-28,WOAH Non-Poultry,30,KS,20049,-96.24370891,37.45338324
25,Weakley,Tennessee,2022-12-28,Commercial Broiler Breeder,19000,TN,47183,-88.71817942,36.29822836
26,Burnett,Wisconsin,2024-12-27,Commercial Turkey Meat Bird,18600,WI,55013,-92.36769812,45.86286431
27,Stanislaus,California,2024-12-27,Commercial Broiler Production,101700,CA,6099,-120.9979524,37.55851635
28,Ottawa,Michigan,2024-12-27,Commercial Turkey Meat Bird,113200,MI,26139,-85.9964531,42.95990607
29,Sheridan,Wyoming,2024-12-27,WOAH Non-Poultry,0,WY,56033,-106.8799546,44.79068012
30,Coffey,Kansas,2024-12-27,WOAH Non-Poultry,50,KS,20031,-95.73407587,38.23677253
31,Cooper,Missouri,2024-12-27,Commercial Turkey Breeder Hens,14900,MO,29053,-92.80985416,38.84333073
32,Pemiscot,Missouri,2024-12-27,WOAH Non-Poultry,70,MO,29155,-89.78539961,36.21131565
33,Anderson,Kansas,2024-12-27,WOAH Non-Poultry,40,KS,20003,-95.29324204,38.21396508
