County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920,SC,45083,-81.99110742,34.93148726
Butte,California,12-31-2024,WOAH Non-Poultry,70,CA,6007,-121.6008508,39.66681952
Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9,MI,26075,-84.42251355,42.24852059
Miner,South Dakota,12-31-2024,WOAH Poultry,1500,SD,46097,-97.60992207,44.02197882
Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400,MI,26139,-85.9964531,42.95990607
Riverside,California,12-31-2024,Commercial Table Egg Layer,181300,CA,6065,-115.9939021,33.74329781
Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400,MI,26139,-85.9964531,42.95990607
Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100,NE,31097,-96.26520163,40.39252282
Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30,ID,16083,-114.6681729,42.35608428
Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10,TN,47167,-89.75925274,35.49692909
Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000,MS,28029,-90.44883293,31.86883689
Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500,AR,5021,-90.41718919,36.36822542
Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400,SD,46045,-99.21540939,45.41847898
Snohomish,Washington,12-30-2022,WOAH Poultry,180,WA,53061,-121.6977603,48.04772437
Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30,MI,26151,-82.82063341,43.4237632
Carson,Texas,12-29-2023,WOAH Non-Poultry,30,TX,48065,-101.3542669,35.40365929
Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110,ND,,,
Pierce,Washington,12-29-2022,WOAH Non-Poultry,40,WA,53053,-122.1122121,47.02680625
Audrain,Missouri,12-28-2023,WOAH Poultry,330,MO,29007,-91.84163742,39.21595536
Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300,CA,6097,-122.8872965,38.52842052
Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400,CA,6097,-122.8872965,38.52842052
Marin,California,12-28-2023,Commercial Table Egg Pullets,151000,CA,6041,-122.7234103,38.07351203
Missoula,Montana,12-28-2023,WOAH Non-Poultry,6,MT,30063,-113.9237814,47.03651185
Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600,TN,47183,-88.71817942,36.29822836
Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000,TN,47183,-88.71817942,36.29822836
Elk,Kansas,12-28-2022,WOAH Non-Poultry,30,KS,20049,-96.24370891,37.45338324
Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40,KS,20003,-95.29324204,38.21396508
Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900,MO,29053,-92.80985416,38.84333073
Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50,KS,20031,-95.73407587,38.23677253
Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300,OH,39037,-84.61945793,40.13381861
Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600,WI,55013,-92.36769812,45.86286431
Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200,MI,26139,-85.9964531,42.95990607
Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0,WY,56033,-106.8799546,44.79068012
Sacramento,California,12-27-2024,Commercial Broiler Production,153800,CA,6067,-121.3445212,38.44881725
Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70,MO,29155,-89.78539961,36.21131565
Stanislaus,California,12-27-2024,Commercial Broiler Production,101700,CA,6099,-120.9979524,37.55851635
Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300,PA,42097,-76.70893391,40.85142483
Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500,MI,26121,-86.1519783,43.2913812
Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30,OK,40047,-97.78263254,36.3791609
Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900,OH,39065,-83.65939867,40.66129428
Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800,MN,27153,-94.89728962,46.07014445
Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10,KS,20147,-99.34669372,39.78462799
Merced,California,12-26-2023,Commercial Table Egg Layer,709000,CA,6047,-120.7175058,37.19189197
Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500,CA,6065,-115.9939021,33.74329781
Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100,CA,6099,-120.9979524,37.55851635
Dade,Missouri,12-24-2024,WOAH Non-Poultry,90,MO,29057,-93.8503345,37.431814
Cass,Missouri,12-24-2024,WOAH Non-Poultry,60,MO,29037,-94.35504883,38.64793026
San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800,CA,6077,-121.2712102,37.9345275
Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400,OK,40001,-94.65863245,35.88406262
Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20,VT,50011,-72.9120833,44.85745972
Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000,OK,40001,-94.65863245,35.88406262
El Dorado,California,12-23-2024,WOAH Non-Poultry,30,CA,6017,-120.5247066,38.77888901
Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,40300,IL,17101,-87.72698819,38.72048612
Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500,MI,26139,-85.9964531,42.95990607
Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000,CA,6021,-122.3921982,39.59788378
Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800,SD,46045,-99.21540939,45.41847898
Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40,NE,31053,-96.6539044,41.57781563
Weakley,Tennessee,12-21-2022,WOAH Poultry,28800,TN,47183,-88.71817942,36.29822836
St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60,IL,17163,-89.92848248,38.4703223
Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10,OR,41059,-118.736681,45.59148273
Bates,Missouri,12-21-2022,WOAH Non-Poultry,30,MO,29013,-94.34015625,38.25742352
Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60,MN,27055,-91.49277553,43.67146528
Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50,AR,5031,-90.63270647,35.8310138
Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000,MS,28041,-88.63921416,31.21420839
Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800,MN,27023,-95.56698141,45.0223965
Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30,KS,20173,-97.46083703,37.68448116
Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000,MO,29053,-92.80985416,38.84333073
Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30,IA,19123,-92.64083907,41.33521502
Merced,California,12-20-2023,Commercial Table Egg Layer,243300,CA,6047,-120.7175058,37.19189197
Benton,Oregon,12-20-2023,WOAH Non-Poultry,50,OR,41003,-123.428743,44.49161157
Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50,SD,46023,-98.58785039,43.20792726
Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700,CA,6047,-120.7175058,37.19189197
Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800,SD,46061,-97.78704306,43.67458361
Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700,CO,8123,-104.3930144,40.55487277
Gem,Idaho,12-20-2022,WOAH Non-Poultry,80,ID,16045,-116.3979457,44.0602805
Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6,WI,55059,-88.04209555,42.57659172
Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600,MN,27045,-92.08990525,43.6739576
Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800,CA,6099,-120.9979524,37.55851635
Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600,MN,27145,-94.61299658,45.55199481
Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000,AL,1043,-86.86718877,34.13183982
Greene,Ohio,12-19-2024,WOAH Poultry,110,OH,39057,-83.88969073,39.69132786
Coos,Oregon,12-19-2024,WOAH Non-Poultry,40,OR,41011,-124.0595871,43.17396579
Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90,OR,41017,-121.227881,43.91469217
Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50,AL,1107,-88.08923504,33.28058298
Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230,AR,5067,-91.21423884,35.59923757
Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600,CA,6097,-122.8872965,38.52842052
Lassen,California,12-19-2023,WOAH Non-Poultry,90,CA,6035,-120.5947447,40.6733613
Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900,MI,26121,-86.1519783,43.2913812
Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000,KS,20159,-98.20053402,38.34721983
King,Washington,12-19-2023,WOAH Poultry,90,WA,53033,-121.8063614,47.49034831
Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000,KS,,,
Barton,Kansas,12-19-2023,WOAH Non-Poultry,70,KS,20009,-98.75632156,38.478934
Mendocino,California,12-19-2022,WOAH Non-Poultry,20,CA,6045,-123.3914743,39.44027921
Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30,LA,22053,-92.8140461,30.26796744
Howard,Missouri,12-18-2024,WOAH Non-Poultry,60,MO,29089,-92.69630819,39.1425032
Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60,ND,38063,-98.19212605,47.92171706
Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700,KS,20043,-95.14683558,39.78796644
Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300,KS,20163,-99.3248686,39.35022485
Rice,Kansas,12-18-2023,WOAH Non-Poultry,100,KS,20159,-98.20053402,38.34721983
Sonoma,California,12-18-2023,WOAH Poultry,38100,CA,6097,-122.8872965,38.52842052
Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700,CA,6097,-122.8872965,38.52842052
Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000,SD,46045,-99.21540939,45.41847898
Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600,IA,19167,-96.17809424,43.08294203
Lancaster,Nebraska,12-17-2024,WOAH Poultry,290,NE,31109,-96.68776297,40.78416865
Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100,CA,6099,-120.9979524,37.55851635
Monona,Iowa,12-17-2024,WOAH Non-Poultry,30,IA,19133,-95.95997093,42.05236881
Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150,ID,16059,-113.9335998,44.9436279
Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500,IA,19195,-93.26085274,43.37747964
Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800,SD,46023,-98.58785039,43.20792726
O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400,IA,,,
Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20,ID,16059,-113.9335998,44.9436279
Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800,SD,46023,-98.58785039,43.20792726
Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700,SD,46009,-97.88493814,42.98827986
Merced,California,12-16-2024,Commercial Table Egg Pullets,424700,CA,6047,-120.7175058,37.19189197
Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100,CA,6047,-120.7175058,37.19189197
Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30,NE,31153,-96.11218009,41.11287068
Butte,California,12-16-2022,WOAH Non-Poultry,20,CA,6007,-121.6008508,39.66681952
Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000,CO,8123,-104.3930144,40.55487277
Flathead,Montana,12-16-2022,WOAH Non-Poultry,0,MT,30029,-114.0497122,48.29520088
Duval,Florida,12-16-2022,WOAH Non-Poultry,10,FL,12031,-81.67063889,30.33214142
Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90,MN,27161,-93.58720505,44.0220714
Latah,Idaho,12-15-2023,WOAH Poultry,200,ID,16057,-116.7117113,46.81645625
Polk,Oregon,12-15-2022,WOAH Non-Poultry,20,OR,41053,-123.4132525,44.90338514
Merced,California,12-14-2024,Commercial Duck Meat Bird,119000,CA,6047,-120.7175058,37.19189197
Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100,CA,6107,-118.8004216,36.22081997
Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40,LA,22015,-93.60428557,32.67882745
Monterey,California,12-14-2024,Commercial Duck Breeder,13700,CA,6053,-121.2387503,36.21711865
Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300,OH,39037,-84.61945793,40.13381861
Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30,OR,41007,-123.6560294,45.99500314
Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180,AR,5127,-94.06315729,34.86103868
Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40,MN,27127,-95.25398841,44.40365018
Spink,South Dakota,12-14-2022,WOAH Poultry,280,SD,46115,-98.34623659,44.93824835
Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100,SD,46101,-96.67091097,44.02224521
Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500,WA,53021,-118.8984754,46.5350455
Weakley,Tennessee,12-14-2022,WOAH Poultry,37900,TN,47183,-88.71817942,36.29822836
Knox,Nebraska,12-14-2022,WOAH Poultry,160,NE,31107,-97.89176183,42.63684531
Tulare,California,12-13-2024,Commercial Broiler Production,514500,CA,6107,-118.8004216,36.22081997
Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500,IL,17105,-88.55786997,40.89167342
Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200,WI,55005,-91.84833604,45.42372695
Merced,California,12-13-2023,Commercial Broiler Production,183100,CA,6047,-120.7175058,37.19189197
Merced,California,12-13-2023,Commercial Table Egg Layer,1358600,CA,6047,-120.7175058,37.19189197
Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000,KS,20159,-98.20053402,38.34721983
Weld,Colorado,12-13-2023,WOAH Non-Poultry,30,CO,8123,-104.3930144,40.55487277
Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000,KS,,,
San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000,CA,6077,-121.2712102,37.9345275
Columbia,Oregon,12-13-2022,WOAH Non-Poultry,100,OR,41009,-123.0888664,45.94376691
Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,11400,IN,18027,-87.07197336,38.70229994
Linn,Oregon,12-13-2022,WOAH Non-Poultry,20,OR,41043,-122.5341835,44.48880768
Pope,Arkansas,12-12-2024,WOAH Non-Poultry,40,AR,5115,-93.03400145,35.4476948
Kingsbury,South Dakota,12-12-2024,Commercial Turkey Meat Bird,39300,SD,46077,-97.4913945,44.36956169
Craighead,Arkansas,12-12-2024,WOAH Non-Poultry,10,AR,5031,-90.63270647,35.8310138
