Date,Avg_Price
2022-01-01,1.929
2022-02-01,2.005
2022-03-01,2.046
2022-04-01,2.52
2022-05-01,2.863
2022-06-01,2.707
2022-07-01,2.936
2022-08-01,3.116
2022-09-01,2.902
2022-10-01,3.419
2022-11-01,3.589
2022-12-01,4.25
2023-01-01,4.823
2023-02-01,4.211
2023-03-01,3.446
2023-04-01,3.27
2023-05-01,2.666
2023-06-01,2.219
2023-07-01,2.094
2023-08-01,2.043
2023-09-01,2.065
2023-10-01,2.072
2023-11-01,2.138
2023-12-01,2.507
2024-01-01,2.522
2024-02-01,2.996
2024-03-01,2.992
2024-04-01,2.864
2024-05-01,2.699
2024-06-01,2.715
2024-07-01,3.08
2024-08-01,3.204
2024-09-01,3.821
2024-10-01,3.37
2024-11-01,3.649
2024-12-01,4.146
2025-01-01,4.953
2025-02-01,5.897
2025-03-01,6.227
