Year,Month,Avg_Price,Date
2015,Jan,2.113,01-01-2015
2016,Jan,2.328,01-01-2016
2017,Jan,1.599,01-01-2017
2018,Jan,1.769,01-01-2018
2019,Jan,1.554,01-01-2019
2020,Jan,1.461,01-01-2020
2021,Jan,1.466,01-01-2021
2022,Jan,1.929,01-01-2022
2023,Jan,4.823,01-01-2023
2024,Jan,2.522,01-01-2024
2025,Jan,4.953,01-01-2025
2015,Feb,2.088,02-01-2015
2016,Feb,2.267,02-01-2016
2017,Feb,1.464,02-01-2017
2018,Feb,1.755,02-01-2018
2019,Feb,1.557,02-01-2019
2020,Feb,1.449,02-01-2020
2021,Feb,1.597,02-01-2021
2022,Feb,2.005,02-01-2022
2023,Feb,4.211,02-01-2023
2024,Feb,2.996,02-01-2024
2025,Feb,,02-01-2025
2015,Mar,2.133,03-01-2015
2016,Mar,2.081,03-01-2016
2017,Mar,1.404,03-01-2017
2018,Mar,1.831,03-01-2018
2019,Mar,1.544,03-01-2019
2020,Mar,1.525,03-01-2020
2021,Mar,1.625,03-01-2021
2022,Mar,2.046,03-01-2022
2023,Mar,3.446,03-01-2023
2024,Mar,2.992,03-01-2024
2025,Mar,,03-01-2025
2015,Apr,2.065,04-01-2015
2016,Apr,1.793,04-01-2016
2017,Apr,1.409,04-01-2017
2018,Apr,2.081,04-01-2018
2019,Apr,1.463,04-01-2019
2020,Apr,2.019,04-01-2020
2021,Apr,1.62,04-01-2021
2022,Apr,2.52,04-01-2022
2023,Apr,3.27,04-01-2023
2024,Apr,2.864,04-01-2024
2025,Apr,,04-01-2025
2015,May,1.962,05-01-2015
2016,May,1.684,05-01-2016
2017,May,1.414,05-01-2017
2018,May,1.987,05-01-2018
2019,May,1.362,05-01-2019
2020,May,1.64,05-01-2020
2021,May,1.625,05-01-2021
2022,May,2.863,05-01-2022
2023,May,2.666,05-01-2023
2024,May,2.699,05-01-2024
2025,May,,05-01-2025
2015,Jun,2.57,06-01-2015
2016,Jun,1.491,06-01-2016
2017,Jun,1.332,06-01-2017
2018,Jun,1.628,06-01-2018
2019,Jun,1.203,06-01-2019
2020,Jun,1.554,06-01-2020
2021,Jun,1.642,06-01-2021
2022,Jun,2.707,06-01-2022
2023,Jun,2.219,06-01-2023
2024,Jun,2.715,06-01-2024
2025,Jun,,06-01-2025
2015,Jul,2.57,07-01-2015
2016,Jul,1.546,07-01-2016
2017,Jul,1.333,07-01-2017
2018,Jul,1.725,07-01-2018
2019,Jul,1.243,07-01-2019
2020,Jul,1.401,07-01-2020
2021,Jul,1.642,07-01-2021
2022,Jul,2.936,07-01-2022
2023,Jul,2.094,07-01-2023
2024,Jul,3.08,07-01-2024
2025,Jul,,07-01-2025
2015,Aug,2.943,08-01-2015
2016,Aug,1.455,08-01-2016
2017,Aug,1.367,08-01-2017
2018,Aug,1.622,08-01-2018
2019,Aug,1.219,08-01-2019
2020,Aug,1.328,08-01-2020
2021,Aug,1.709,08-01-2021
2022,Aug,3.116,08-01-2022
2023,Aug,2.043,08-01-2023
2024,Aug,3.204,08-01-2024
2025,Aug,,08-01-2025
2015,Sep,2.966,09-01-2015
2016,Sep,1.471,09-01-2016
2017,Sep,1.422,09-01-2017
2018,Sep,1.651,09-01-2018
2019,Sep,1.383,09-01-2019
2020,Sep,1.353,09-01-2020
2021,Sep,1.835,09-01-2021
2022,Sep,2.902,09-01-2022
2023,Sep,2.065,09-01-2023
2024,Sep,3.821,09-01-2024
2025,Sep,,09-01-2025
2015,Oct,2.808,10-01-2015
2016,Oct,1.39,10-01-2016
2017,Oct,1.54,10-01-2017
2018,Oct,1.66,10-01-2018
2019,Oct,1.282,10-01-2019
2020,Oct,1.408,10-01-2020
2021,Oct,1.821,10-01-2021
2022,Oct,3.419,10-01-2022
2023,Oct,2.072,10-01-2023
2024,Oct,3.37,10-01-2024
2025,Oct,,10-01-2025
2015,Nov,2.664,11-01-2015
2016,Nov,1.321,11-01-2016
2017,Nov,1.506,11-01-2017
2018,Nov,1.596,11-01-2018
2019,Nov,1.405,11-01-2019
2020,Nov,1.45,11-01-2020
2021,Nov,1.718,11-01-2021
2022,Nov,3.589,11-01-2022
2023,Nov,2.138,11-01-2023
2024,Nov,3.649,11-01-2024
2025,Nov,,11-01-2025
2015,Dec,2.751,12-01-2015
2016,Dec,1.383,12-01-2016
2017,Dec,1.815,12-01-2017
2018,Dec,1.595,12-01-2018
2019,Dec,1.535,12-01-2019
2020,Dec,1.481,12-01-2020
2021,Dec,1.788,12-01-2021
2022,Dec,4.25,12-01-2022
2023,Dec,2.507,12-01-2023
2024,Dec,4.146,12-01-2024
2025,Dec,,12-01-2025
