State,County,Date Detected,Bird Species
Minnesota,Scott,2025-04-21,Mallard
Pennsylvania,Lancaster,2025-04-21,Black vulture
Pennsylvania,Lancaster,2025-04-21,Black vulture
Ohio,Ottawa,2025-04-15,Mallard
Ohio,Ottawa,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Minnesota,Scott,2025-04-15,Mallard
Ohio,Ottawa,2025-04-15,Mallard
Kansas,Barton,2025-04-10,Blue-winged teal
Pennsylvania,York,2025-04-10,Black vulture
Pennsylvania,York,2025-04-10,Black vulture
Pennsylvania,York,2025-04-10,Black vulture
Connecticut,New Haven,2025-03-27,Mallard
Connecticut,New London,2025-03-27,Mallard
Rhode Island,Washington,2025-03-27,American black duck
Rhode Island,Washington,2025-03-27,American black duck
California,Kern,2025-03-25,Turkey vulture
California,Kern,2025-03-25,Turkey vulture
Colorado,Larimer,2025-03-24,Mallard
New Mexico,Chaves,2025-03-21,Great horned owl
Vermont,Addison,2025-03-21,Canada goose
Vermont,Addison,2025-03-21,Canada goose
Vermont,Addison,2025-03-21,Canada goose
Vermont,Addison,2025-03-21,Canada goose
Vermont,Addison,2025-03-21,Canada goose
Indiana,Starke,2025-03-20,Mallard
Indiana,Starke,2025-03-20,Mallard
Indiana,Starke,2025-03-20,Mallard
Iowa,Johnson,2025-03-19,Canada goose
Wisconsin,Dane,2025-03-19,Sandhill crane
Illinois,Cook,2025-03-19,Red-breasted merganser
Illinois,Cook,2025-03-19,Red-breasted merganser
Illinois,Cook,2025-03-19,Red-breasted merganser
Illinois,Cook,2025-03-19,Red-breasted merganser
Illinois,Cook,2025-03-19,Red-breasted merganser
Oklahoma,Texas,2025-03-17,Canada goose
Oklahoma,Texas,2025-03-17,Canada goose
Oklahoma,Texas,2025-03-17,Grackle (unidentified)
Iowa,Jackson,2025-03-17,Peregrine falcon
South Dakota,Clay,2025-03-14,Bald eagle
Florida,Brevard,2025-03-14,Black vulture
Florida,Seminole,2025-03-14,Black vulture
Colorado,Larimer,2025-03-13,Mallard
Minnesota,Itasca,2025-03-13,American coot
Oregon,Lincoln,2025-03-13,Peregrine falcon
Oregon,Marion,2025-03-13,Cackling goose
Oregon,Marion,2025-03-13,Cackling goose
Oregon,Lane,2025-03-13,Green-winged teal
South Carolina,Horry,2025-03-12,Canada goose
Florida,Brevard,2025-03-12,Black vulture
Florida,Brevard,2025-03-12,Black vulture
California,San Diego,2025-03-12,American white pelican
Oregon,Lane,2025-03-12,Cackling goose
