Date,Close/Last,Volume,Open,High,Low
03/13/2025,$29.32,1454577,$32.05,$32.525,$29.015
03/12/2025,$31.94,1022453,$31.93,$32.55,$30.895
03/11/2025,$31.60,906580,$32.01,$32.565,$31.14
03/10/2025,$32.04,1172360,$32.32,$32.89,$31.71
03/07/2025,$33.12,1414258,$30.15,$33.31,$30.13
03/06/2025,$30.39,1042284,$30.231,$30.82,$29.63
03/05/2025,$30.78,936112,$31.17,$31.51,$30.39
03/04/2025,$31.15,1249632,$31.005,$31.96,$30.51
03/03/2025,$31.55,2042688,$33.48,$33.60,$31.3321
02/28/2025,$33.11,2913074,$31.99,$33.40,$31.35
02/27/2025,$30.79,4098199,$36.14,$37.49,$30.50
02/26/2025,$33.88,1489860,$32.45,$34.14,$32.35
02/25/2025,$32.06,1184296,$32.00,$32.74,$31.06
02/24/2025,$32.33,1894512,$33.74,$34.30,$32.28
02/21/2025,$34.90,893058,$35.48,$36.18,$34.75
02/20/2025,$34.77,1127129,$35.00,$35.82,$34.41
02/19/2025,$35.38,889311,$34.35,$35.51,$33.9012
02/18/2025,$34.31,1455525,$34.79,$35.36,$33.14
02/14/2025,$34.76,1652146,$35.94,$36.6034,$33.45
02/13/2025,$35.42,858619,$35.09,$35.73,$34.625
02/12/2025,$34.93,1009925,$35.00,$35.7399,$34.895
02/11/2025,$35.71,926429,$35.29,$36.25,$35.06
02/10/2025,$35.41,1152861,$36.23,$36.49,$35.14
02/07/2025,$36.17,894093,$37.45,$38.14,$36.08
02/06/2025,$37.49,809122,$38.06,$38.23,$37.18
02/05/2025,$37.69,1314002,$38.02,$38.46,$37.13
02/04/2025,$38.01,1299797,$39.85,$40.37,$37.53
02/03/2025,$39.88,1785718,$41.20,$41.86,$38.09
01/31/2025,$43.875,873110,$45.00,$45.62,$43.46
01/30/2025,$44.93,1094685,$44.50,$45.29,$43.60
01/29/2025,$44.04,664539,$42.87,$44.56,$42.80
01/28/2025,$42.87,802221,$42.58,$44.2154,$42.46
01/27/2025,$42.37,1137592,$42.72,$44.18,$41.94
01/24/2025,$43.14,1238585,$45.00,$45.01,$42.4214
01/23/2025,$45.12,685731,$44.39,$45.39,$43.90
01/22/2025,$44.39,1134084,$44.07,$44.97,$43.485
01/21/2025,$43.93,1617246,$45.24,$45.55,$41.08
01/17/2025,$45.01,1613296,$43.57,$45.72,$43.3267
01/16/2025,$43.14,823996,$42.62,$43.70,$41.77
01/15/2025,$42.67,936180,$42.77,$43.53,$41.6701
01/14/2025,$42.08,1307316,$42.58,$43.23,$41.78
01/13/2025,$41.62,3004799,$39.95,$43.80,$39.5071
01/10/2025,$40.13,902744,$39.16,$40.325,$38.29
01/08/2025,$39.38,772592,$37.94,$39.78,$37.03
01/07/2025,$37.60,674662,$38.96,$39.195,$37.00
01/06/2025,$38.55,974722,$40.00,$40.35,$38.00
01/03/2025,$39.63,476074,$38.75,$39.76,$38.71
01/02/2025,$38.84,444318,$37.95,$39.45,$37.895
12/31/2024,$37.69,658227,$37.57,$38.38,$36.88
12/30/2024,$37.16,555796,$37.45,$37.655,$36.75
12/27/2024,$37.345,694052,$37.50,$38.02,$36.61
12/26/2024,$37.72,742829,$39.26,$39.505,$37.59
12/24/2024,$39.33,344317,$39.06,$39.46,$38.6475
12/23/2024,$38.81,717968,$39.81,$40.00,$38.36
12/20/2024,$39.69,1902666,$38.19,$40.50,$38.08
12/19/2024,$38.74,760538,$37.74,$38.94,$36.99
12/18/2024,$37.23,874100,$38.78,$39.272,$36.95
12/17/2024,$38.815,660824,$38.37,$39.15,$37.85
12/16/2024,$38.85,1053059,$37.58,$38.92,$37.58
12/13/2024,$37.57,892216,$37.15,$38.108,$36.54
12/12/2024,$36.99,771924,$38.82,$39.44,$36.88
12/11/2024,$38.73,895093,$37.95,$39.06,$37.345
12/10/2024,$37.57,1116814,$36.93,$38.40,$36.54
12/09/2024,$36.97,975010,$36.29,$37.53,$36.28
12/06/2024,$35.44,521300,$34.73,$35.48,$34.45
12/05/2024,$34.47,560577,$34.17,$34.705,$33.62
12/04/2024,$34.23,922934,$34.24,$34.27,$33.05
