Date,Close/Last,Volume,Open,High,Low
02/20/2025,$90.11,985698,$91.20,$91.9469,$88.63
02/19/2025,$92.04,1142462,$90.95,$92.93,$89.16
02/18/2025,$90.96,2347299,$95.33,$96.11,$88.1201
02/14/2025,$95.10,2081547,$108.11,$108.9237,$94.00
02/13/2025,$108.60,1012504,$106.65,$109.33,$104.15
02/12/2025,$106.15,1267447,$112.60,$115.94,$106.015
02/11/2025,$113.98,725851,$109.74,$114.15,$109.74
02/10/2025,$109.41,594670,$109.63,$110.34,$106.55
02/07/2025,$108.30,703287,$109.12,$110.50,$107.355
02/06/2025,$108.77,545933,$107.59,$110.08,$107.55
02/05/2025,$106.78,871084,$107.30,$107.87,$105.81
02/04/2025,$107.64,1078439,$106.75,$109.33,$106.19
02/03/2025,$106.70,960614,$107.00,$109.11,$105.33
01/31/2025,$107.90,1947396,$113.68,$113.68,$102.90
01/30/2025,$115.80,604423,$112.73,$116.36,$111.5992
01/29/2025,$112.38,704890,$110.24,$112.77,$109.88
01/28/2025,$111.21,686608,$109.71,$112.79,$109.71
01/27/2025,$109.38,695180,$106.39,$110.25,$106.39
01/24/2025,$106.70,919648,$110.00,$110.61,$104.9001
01/23/2025,$110.48,568609,$111.76,$114.17,$110.08
01/22/2025,$112.03,442971,$114.03,$114.745,$111.885
01/21/2025,$114.23,574878,$114.65,$116.41,$111.81
01/17/2025,$113.63,583966,$112.17,$114.40,$111.90
01/16/2025,$111.91,654524,$112.04,$113.70,$111.03
01/15/2025,$112.51,944780,$111.27,$113.25,$108.8696
01/14/2025,$109.97,854623,$108.30,$110.70,$107.3401
01/13/2025,$107.00,1168162,$102.42,$107.6099,$102.21
01/10/2025,$101.93,1041657,$105.39,$106.452,$101.455
01/08/2025,$104.73,1826121,$109.78,$112.525,$103.53
01/07/2025,$103.68,967799,$104.76,$106.125,$103.53
01/06/2025,$104.75,586975,$107.54,$108.16,$103.60
01/03/2025,$107.54,413598,$105.59,$107.7599,$105.06
01/02/2025,$105.63,412524,$102.80,$105.80,$102.55
12/31/2024,$102.92,356710,$102.73,$104.45,$102.14
12/30/2024,$102.03,448998,$101.43,$103.5899,$101.26
12/27/2024,$101.14,413063,$101.42,$101.84,$98.71
12/26/2024,$102.07,603462,$102.28,$102.78,$100.92
