Date,Close_Last,Volume,Open,High,Low
2015-04-22,40.68,841494.0,41.04,41.07,40.105
2015-04-23,40.75,415597.0,40.57,40.93,40.21
2015-04-24,41.0,470560.0,40.97,41.2,40.43
2015-04-27,40.95,635369.0,40.95,41.09,40.66
2015-04-28,45.08,2934904.0,41.0,47.51,41.0
2015-04-29,44.65,590937.0,44.97,45.9,44.442
2015-04-30,44.71,834362.0,44.6,45.26,44.35
2015-05-01,45.5,927942.0,45.0,46.03,44.57
2015-05-04,44.17,1041254.0,45.67,46.4,44.1125
2015-05-05,43.1,813419.0,44.26,44.38,42.7701
2015-05-06,43.49,748067.0,43.67,43.93,42.83
2015-05-07,43.5,770907.0,43.37,43.81,42.87
2015-05-08,43.0,582090.0,44.01,44.15,42.96
2015-05-11,49.45,3115792.0,44.13,50.69,43.95
2015-05-12,51.14,1761546.0,48.99,51.85,48.18
2015-05-13,53.44,1426808.0,51.26,54.07,51.26
2015-05-14,54.95,1470114.0,53.86,56.19,53.86
2015-05-15,54.95,1055174.0,54.51,54.98,52.72
2015-05-18,59.86,2176938.0,56.4,60.61,56.25
2015-05-19,58.3,1734510.0,59.85,60.72,58.0
2015-05-20,56.49,1203867.0,58.14,58.88,56.42
2015-05-21,56.43,949112.0,56.68,57.56,56.13
2015-05-22,57.45,1065282.0,56.4,57.9,56.0051
2015-05-26,53.59,2574613.0,58.85,58.99,52.2001
2015-05-27,56.63,1673416.0,54.37,56.77,53.2
2015-05-28,56.23,964472.0,56.3,57.0958,56.02
2015-05-29,56.69,513432.0,56.26,57.0297,56.0
2015-06-01,57.29,996216.0,57.06,57.41,56.0201
2015-06-02,56.71,803384.0,57.02,57.08,55.69
2015-06-03,55.74,617682.0,57.11,57.14,55.45
2015-06-04,56.57,794053.0,56.48,57.485,56.0368
2015-06-05,56.28,610621.0,56.69,56.79,55.19
2015-06-08,55.8,422414.0,56.19,56.46,55.51
2015-06-09,54.83,607304.0,55.88,55.97,54.81
2015-06-10,55.92,990067.0,54.97,56.42,54.83
2015-06-11,54.5,740649.0,56.01,56.2899,54.15
2015-06-12,55.53,531820.0,54.48,55.55,54.11
2015-06-15,55.4,517871.0,56.28,56.525,55.2874
2015-06-16,55.86,428901.0,55.14,56.069,54.96
2015-06-17,55.1,503387.0,55.77,56.66,55.05
2015-06-18,54.31,756920.0,55.0,55.86,54.21
2015-06-19,54.22,655803.0,54.1,55.34,54.1
2015-06-22,54.17,515192.0,54.67,55.0,53.89
2015-06-23,53.84,584399.0,54.27,54.394,53.04
2015-06-24,53.86,478749.0,53.68,54.145,53.59
2015-06-25,53.79,318684.0,53.87,54.78,53.6
2015-06-26,54.8,981479.0,55.1,56.44,54.2035
2015-06-29,51.03,1089809.0,54.47,54.74,50.52
2015-06-30,52.2,844999.0,51.31,53.23,51.31
2015-07-01,53.32,557084.0,52.39,53.38,51.84
2015-07-02,52.81,731209.0,53.51,54.13,52.0
2015-07-06,52.17,453470.0,52.17,53.0,51.69
2015-07-07,52.8,471866.0,52.15,52.89,50.85
2015-07-08,52.07,564148.0,52.48,53.1197,51.71
2015-07-09,52.3,816942.0,52.7,52.97,51.69
2015-07-10,54.22,487594.0,53.05,54.26,52.5
2015-07-13,53.91,717369.0,54.96,55.82,53.86
2015-07-14,53.82,511366.0,53.91,54.5,53.5226
2015-07-15,52.81,610772.0,53.29,53.742,52.2
2015-07-16,53.66,624301.0,53.06,54.25,52.924
2015-07-17,53.89,998534.0,53.57,54.09,52.86
2015-07-20,54.1,3611396.0,50.59,54.66,47.62
2015-07-21,53.51,1036390.0,53.88,53.88,51.8
2015-07-22,53.76,839383.0,53.51,54.21,53.21
2015-07-23,52.77,491164.0,54.2,54.3,52.6277
2015-07-24,51.51,871768.0,52.97,52.97,50.94
2015-07-27,54.58,711892.0,51.4,54.68,51.4
2015-07-28,54.33,629052.0,54.89,54.89,53.682
2015-07-29,54.89,428598.0,54.39,55.5,53.78
2015-07-30,54.55,459417.0,54.46,54.9699,53.87
2015-07-31,54.16,403928.0,54.58,55.2715,53.96
2015-08-03,55.11,489246.0,54.52,55.44,53.91
2015-08-04,55.73,473948.0,54.99,56.2,54.71
2015-08-05,56.89,760660.0,55.96,57.94,55.7375
2015-08-06,54.16,609185.0,56.89,56.9,54.08
2015-08-07,54.54,488015.0,54.05,55.17,53.57
2015-08-10,55.09,398117.0,55.06,55.8046,53.96
2015-08-11,55.45,689516.0,54.64,55.98,54.37
2015-08-12,53.93,656407.0,54.87,55.57,53.09
2015-08-13,52.52,628269.0,54.34,54.67,52.5
